date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2021-07-22,AAPL,0.15944455902138202,30,1.0,19
2021-07-23,AAPL,0.3889673894587578,30,1.0,18
2021-07-26,AAPL,0.20116871371396566,30,1.0,18
2021-07-27,AAPL,0.2316329557447686,30,1.0,18
2021-07-28,AAPL,0.19620963266091926,30,1.0,18
2021-07-29,AAPL,0.11737666665913239,30,1.0,19
2021-07-30,AAPL,0.20362830528285267,30,1.0,18
2021-08-02,AAPL,0.22106515781390138,30,1.0,18
2021-08-03,AAPL,0.17431129871654288,30,1.0,18
2021-08-04,AAPL,0.11313686052238542,30,1.0,18
2021-08-05,AAPL,0.11336496571192935,30,1.0,19
2021-08-06,AAPL,0.2040371762707052,30,1.0,18
2021-08-09,AAPL,0.19153450331997654,30,1.0,18
2021-08-10,AAPL,0.18593874208489325,30,1.0,18
2021-08-11,AAPL,0.21674512462947282,30,1.0,18
2021-08-12,AAPL,0.16735297474207997,30,1.0,19
2021-08-13,AAPL,0.11666678677495305,30,1.0,18
2021-08-16,AAPL,0.16896295092254493,30,1.0,18
2021-08-17,AAPL,0.14127637041956756,30,1.0,18
2021-08-18,AAPL,0.1642433375365361,30,1.0,18
2021-08-19,AAPL,0.15955805954329838,30,1.0,19
2021-08-20,AAPL,0.15540296716291843,30,1.0,18
2021-08-23,AAPL,0.2053865357861695,30,1.0,18
2021-08-24,AAPL,0.17819792778699,30,1.0,18
2021-08-25,AAPL,0.13792893751893096,30,1.0,18
2021-08-26,AAPL,0.19024819718067404,30,1.0,19
2021-08-27,AAPL,0.15638824748503655,30,1.0,18
2021-08-30,AAPL,0.11459954956283264,30,1.0,18
2021-08-31,AAPL,0.19118862785315605,30,1.0,18
2021-09-01,AAPL,0.17719317123029854,30,1.0,18
2021-09-02,AAPL,0.170814610537156,30,1.0,19
2021-09-03,AAPL,0.15845517967178746,30,1.0,18
2021-09-07,AAPL,0.20393529254257645,30,1.0,18
2021-09-08,AAPL,0.2069604643984196,30,1.0,18
2021-09-09,AAPL,0.22768735282775232,30,1.0,19
2021-09-10,AAPL,0.2974154189269155,30,1.0,18
2021-09-13,AAPL,0.18617792230148295,30,1.0,19
2021-09-14,AAPL,0.2816656993342311,30,1.0,19
2021-09-15,AAPL,0.13775844619952654,30,1.0,19
2021-09-16,AAPL,0.13334710401828148,30,1.0,19
2021-09-17,AAPL,0.1622846268588399,30,1.0,18
2021-09-20,AAPL,0.2384070941867576,30,1.0,19
2021-09-21,AAPL,0.2228128368342365,30,1.0,19
2021-09-22,AAPL,0.20566501560981315,30,1.0,19
2021-09-23,AAPL,0.16622514051847745,30,1.0,20
